Account Name,Parent Account,Account Number,Is Group,Account Type,Account Category,Root Type,Tax Rate
Tài sản,,,1,,,Asset,
111 - Tiền mặt,Tài sản,111,0,Cash,,Asset,
112 - Tiền gửi không kỳ hạn,Tài sản,112,0,Bank,,Asset,
113 - Tiền đang chuyển,Tài sản,113,0,,,Asset,
121 - Chứng khoán kinh doanh,Tài sản,121,0,,,Asset,
128 - Đầu tư nắm giữ đến ngày đáo hạn,Tài sản,128,1,,,Asset,
1281 - Tiền gửi có kỳ hạn,128 - Đầu tư nắm giữ đến ngày đáo hạn,1281,0,,,Asset,
1282 - Trái phiếu,128 - Đầu tư nắm giữ đến ngày đáo hạn,1282,0,,,Asset,
1283 - Cho vay,128 - Đầu tư nắm giữ đến ngày đáo hạn,1283,0,,,Asset,
1288 - Đầu tư khác,128 - Đầu tư nắm giữ đến ngày đáo hạn,1288,0,,,Asset,
131 - Phải thu của khách hàng,Tài sản,131,0,Receivable,,Asset,
133 - Thuế GTGT được khấu trừ,Tài sản,133,1,,,Asset,
1331 - Thuế GTGT được khấu trừ của hàng hoá dịch vụ,133 - Thuế GTGT được khấu trừ,1331,0,Tax,,Asset,
1332 - Thuế GTGT được khấu trừ của TSCĐ,133 - Thuế GTGT được khấu trừ,1332,0,Tax,,Asset,
136 - Phải thu nội bộ,Tài sản,136,1,,,Asset,
1361 - Vốn kinh doanh ở đơn vị trực thuộc,136 - Phải thu nội bộ,1361,0,,,Asset,
1362 - Phải thu nội bộ về chênh lệch tỷ giá,136 - Phải thu nội bộ,1362,0,,,Asset,
1363 - Phải thu nội bộ về chi phí đi vay đủ điều kiện vốn hoá,136 - Phải thu nội bộ,1363,0,,,Asset,
1368 - Phải thu nội bộ khác,136 - Phải thu nội bộ,1368,0,,,Asset,
138 - Phải thu khác,Tài sản,138,1,,,Asset,
1381 - Tài sản thiếu chờ xử lý,138 - Phải thu khác,1381,0,,,Asset,
1383 - Thuế GTGT hàng nhập khẩu treo,138 - Phải thu khác,1383,0,,,Asset,
1388 - Phải thu khác,138 - Phải thu khác,1388,0,,,Asset,
141 - Tạm ứng,Tài sản,141,0,,,Asset,
151 - Hàng mua đang đi đường,Tài sản,151,0,Stock Received But Not Billed,,Asset,
"152 - Nguyên liệu, vật liệu",Tài sản,152,0,Stock,,Asset,
"153 - Công cụ, dụng cụ",Tài sản,153,0,Stock,,Asset,
154 - Chi phí SXKD dở dang,Tài sản,154,0,Stock,,Asset,
155 - Sản phẩm,Tài sản,155,0,Stock,,Asset,
156 - Hàng hoá,Tài sản,156,0,Stock,,Asset,
157 - Hàng gửi đi bán,Tài sản,157,0,Stock,,Asset,
"158 - Nguyên liệu, vật tư tại kho bảo thuế",Tài sản,158,0,Stock,,Asset,
171 - Giao dịch mua bán lại TPCP,Tài sản,171,0,,,Asset,
211 - TSCĐ hữu hình,Tài sản,211,0,Fixed Asset,,Asset,
212 - TSCĐ thuê tài chính,Tài sản,212,0,Fixed Asset,,Asset,
213 - TSCĐ vô hình,Tài sản,213,0,Fixed Asset,,Asset,
214 - Hao mòn TSCĐ,Tài sản,214,1,,,Asset,
