"Thông tin cơ bản","Basic Information"
"Khách hàng","Customer"
"Tên khách hàng","Customer Name"
"NVKD","Sales Person"
"Tên NVKD","Sales Person Name"
"Phòng ban","Department"
"Công ty","Company"
"Chi nhánh","Branch"
"Số hợp đồng giấy","External Contract Number"
"Danh mục dự án","Project Category"
"Loại dịch vụ","Service Type"
"Tên gói / băng thông","Package / Bandwidth"
"Địa điểm lắp đặt","Installation Address"
"Ngày tháng","Dates"
"Ngày ký hợp đồng","Contract Date"
"Ngày nghiệm thu / kích hoạt","Acceptance / Activation Date"
"Phụ lục số","Appendix No"
"Ngày phụ lục","Appendix Date"
"Ngày kết thúc","End Date"
"Loại hợp đồng","Contract Type"
"Thời hạn gói (tháng)","Package Term (months)"
"Hình thức thanh toán","Payment Mode"
"Hạng mục","Items"
"Hạng mục hợp đồng","Contract Items"
"Tổng cộng","Totals"
"Doanh thu / kỳ","Revenue per Period"
"Phí lắp đặt (1 lần)","Setup Fee (one-time)"
"Tổng giá trị hợp đồng","Grand Total"
"Tiền tệ","Currency"
"Lịch thu tiền","Billing Schedule"
"Tham chiếu","References"
"Đơn bán hàng nội bộ","Shadow Sales Order"
"Trạng thái","Status"
"Sửa đổi từ","Amended From"
"Mô tả","Description"
"Đơn vị tính","UOM"
"Số lượng","Quantity"
"Đơn giá (chưa VAT)","Unit Price (excl. VAT)"
"Thành tiền / kỳ","Amount per Period"
"Liên kết ERPNext","ERPNext Link"
"Mặt hàng ERPNext","ERPNext Item"
"Kỳ","Period"
"Loại","Type"
"Từ ngày","Period Start"
"Đến ngày","Period End"
"Hạn thanh toán","Due Date"
"Số tiền","Amount"
"Tính theo ngày","Prorated"
"Hóa đơn bán hàng","Sales Invoice"
"Phiếu thu","Payment Entry"
"Cài đặt chung","General Settings"
"Điều khoản thanh toán mặc định","Default Payment Terms"
"Chế độ làm tròn","Rounding Mode"
"Đơn vị hiển thị tiền tệ","Currency Display Unit"
"Thời gian gia hạn quá hạn (ngày)","Overdue Grace Period (days)"
"Công thức tính theo ngày","Proration Formula"
"Gộp phí lắp đặt vào kỳ đầu","Include Setup Fee in First Period"
"Vòng đời hợp đồng","Contract Lifecycle"
"Thông báo hết hạn trước (ngày)","Expiry Notification (days before)"
"Tự động gia hạn","Auto Renewal"
"Chi nhánh - Trung tâm chi phí","Branch - Cost Center Mapping"
"Bảng chi nhánh - TTCP","Branch Cost Center Map"
"Trung tâm chi phí","Cost Center"
"Tên mẫu","Template Name"
"Hạng mục mặc định","Default Items"
"Điều khoản","Terms"
"Điều khoản mặc định","Default Terms"
"Nội dung mẫu hợp đồng","Contract Boilerplate Text"
"Tạo từ mẫu","Create from Template"
"Chọn mẫu hợp đồng","Select Contract Template"
"Mẫu hợp đồng","Contract Template"
"Áp dụng","Apply"
"Tạm ngưng","Suspend"
"Kích hoạt lại","Reactivate"
"Tạm ngưng hợp đồng","Suspend Contract"
"Xác nhận","Confirm"
"Tạo PAKD","Create PAKD"
"Tạo","Create"
"Công nợ theo Hợp đồng","Outstanding Receivables by Contract"
"Hợp đồng sắp hết hạn","Contracts Expiring Soon"
"Hợp đồng","Contract"
"Ngày bắt đầu","Start Date"
"Số ngày còn lại","Days Remaining"
"Giá trị HĐ","Contract Value"
"Hóa đơn","Invoice"
"Tổng quan Hợp đồng","Contract Overview"
"Biểu đồ","Charts"
"Truy cập nhanh","Quick Access"
"Hợp đồng đang hoạt động","Active Contracts"
"Doanh thu hàng tháng","Monthly Revenue"
"Số tiền quá hạn","Overdue Amount"
"Hợp đồng sắp hết hạn","Contracts Expiring This Month"
"Giá trị hợp đồng theo tháng","Monthly Contract Value"
"Doanh thu theo loại dịch vụ","Revenue by Service Type"
"Hợp đồng theo trạng thái","Contracts by Status"
"Tạo Hợp đồng","New Contract"
"Danh sách Hợp đồng","Contract List"
"Cài đặt","Settings"
"Báo cáo","Reports"
"Thiết lập","Setup"
"Mẫu Hợp đồng","Contract Templates"
"Viễn thông","Telecommunications"
"CNTT","IT"
"Thi công","Construction"
"Recurring","Recurring"
"One-off","One-off"
"Prepay","Prepay"
"Monthly","Monthly"
"OneOff","OneOff"
"Draft","Draft"
"Active","Active"
"Suspended","Suspended"
"Revised","Revised"
"Cancelled","Cancelled"
"Expired","Expired"
"Projected","Projected"
"Invoiced","Invoiced"
"Paid","Paid"
"Overdue","Overdue"
"Written Off","Written Off"
"Setup Fee","Setup Fee"
"Service","Service"
