"DCNet HRM","DCNet HRM"
"VN Payroll Settings","Cấu hình lương VN"
"Insurance Rate","Tỷ lệ bảo hiểm"
"Statutory Wage","Lương cơ sở & lương tối thiểu vùng"
"Dependent","Người phụ thuộc"
"Vietnamese Compliance Info","Thông tin tuân thủ pháp luật VN"
"Social Insurance Number","Mã số BHXH"
"Personal Tax Code","Mã số thuế cá nhân"
"Citizen ID Number","Số CCCD"
"Citizen ID Issue Date","Ngày cấp CCCD"
"Citizen ID Issue Place","Nơi cấp CCCD"
"Insurance Status","Tình trạng đóng BH"
"Fully Insured","Đóng đầy đủ"
"Health Insurance Only","Chỉ đóng BHYT"
"Not Insured","Không đóng BH"
"Minimum Wage Region","Vùng lương tối thiểu"
"Region I","Vùng I"
"Region II","Vùng II"
"Region III","Vùng III"
"Region IV","Vùng IV"
"Trade Union Member","Đoàn viên công đoàn"
"Insurance Contribution Salary","Lương đóng bảo hiểm"
"Net Salary Agreement","Thỏa thuận lương NET"
"Vietnamese PIT / Insurance Breakdown","Chi tiết Thuế TNCN / Bảo hiểm"
"Capped Insurance Salary","Lương đóng BH (đã áp trần)"
"Taxable Income","Thu nhập chịu thuế"
"Assessable Income","Thu nhập tính thuế"
"Dependent Count (This Period)","Số người phụ thuộc trong kỳ"
"PIT Bracket Breakdown","Chi tiết bậc thuế TNCN"
"Social Insurance","Bảo hiểm xã hội"
"Current Insurance Rate (Auto)","Tỷ lệ BH hiện hành (tự động)"
"Skip Insurance Contribution If Worked Under Minimum Days","Không đóng BH nếu công dưới số ngày tối thiểu"
"Personal Income Tax Deductions","Giảm trừ thuế TNCN"
"Personal Deduction","Giảm trừ bản thân"
"Dependent Deduction (Per Dependent)","Giảm trừ người phụ thuộc"
"Meal Allowance Tax-Exempt Cap","Trần miễn thuế phụ cấp cơm"
"Trade Union","Công đoàn"
"Trade Union Funding % (Employer, On Insurance Salary Fund)","% Kinh phí công đoàn (DN, trên quỹ lương đóng BH)"
"Trade Union Fee % (Employee, On Insurance Salary)","% Đoàn phí công đoàn (NLĐ, trên lương đóng BH)"
"Trade Union Fee Monthly Cap","Trần đoàn phí công đoàn/tháng"
"Effective From","Có hiệu lực từ"
"Rates","Bảng tỷ lệ"
