"Thông tin chung","General Information"
"Loại PAKD","PAKD Type"
"Hợp đồng","Contract"
"Số hợp đồng giấy","External Contract Number"
"Kênh","Channel"
"Khách hàng","Customer"
"Tên khách hàng","Customer Name"
"NVKD","Sales Person"
"Tên NVKD","Sales Person Name"
"Phòng ban","Department"
"Chi nhánh","Branch"
"Công ty","Company"
"Loại dịch vụ","Service Type"
"Danh mục dự án","Project Category"
"Hạng mục PAKD","PAKD Items"
"Hạng mục","Items"
"Tổng tính toán","Computed Totals"
"Tổng DT hợp đồng","Total Revenue Contract"
"Tổng chi phí ngoài","Total Add Costs"
"Tổng DV quản lý","Total Manager Services"
"Tổng phí GPVT","Total License Fee (GPVT)"
"Tổng hoa hồng","Total Sales Commission"
"Tổng chi phí","Total Cost"
"Tổng DT dịch vụ","Total Revenue Service"
"Theo dõi hoa hồng","Commission Tracking"
"Dòng hoa hồng","Commission Lines"
"Trạng thái","Status"
"Lương bổ sung","Additional Salary"
"Đơn vị tính","UOM"
"Số lượng","Quantity"
"Đơn giá","Unit Price"
"Đơn giá chi phí ngoài","Add Costs Unit Price"
"Số tháng thu","Months Billed"
"Số tháng KM","Months Promo"
"Tham chiếu hạng mục HĐ","Contract Line Reference"
"Doanh thu thực tế","Revenue Actual"
"Hệ số lương","Salary Coefficient"
"Tính toán","Computed"
"DT hợp đồng","Revenue Contract"
"Chi phí ngoài","Add Costs"
"DV quản lý","Manager Services"
"Phí GPVT","License Fee (GPVT)"
"Hoa hồng","Sales Commission"
"Tổng chi phí","Total Cost"
"DT dịch vụ","Revenue Service"
"Kỳ lịch thu tiền","Billing Schedule Period"
"Thành phần","Component"
"Số tiền","Amount"
"Tháng lương","Payroll Month"
"Bút toán","Journal Entry"
"Phiếu thu","Payment Entry"
"Cài đặt chung","General Settings"
"Ngày chốt hàng tháng","Cutoff Day of Month"
"Mẫu hoa hồng mặc định","Default Commission Template"
"Tài khoản kế toán","Accounts"
"TK - DV quản lý","Account - Manager Services"
"TK - Chi phí ngoài","Account - Add Costs"
"TK đối ứng - DV quản lý","Counter Account - Manager Services"
"TK đối ứng - Chi phí ngoài","Counter Account - Add Costs"
"Tên mẫu","Template Name"
"Hiệu lực từ","Valid From"
"Hiệu lực đến","Valid To"
"Loại PAKD","PAKD Type"
"Thành phần","Components"
"Tên thành phần","Component Name"
"Tỷ lệ (%)","Rate (%)"
"Công thức cơ sở","Base Formula"
"Áp dụng cho phí lắp đặt","Applies to Setup Fee"
"Xem Hợp đồng","View Contract"
"Sổ Hoa hồng","Commission Register"
"PAKD chờ phê duyệt","Pending PAKD Aging"
"Lợi nhuận theo Dịch vụ","Profitability by Service"
"Tháng","Month"
"Khoản","Component"
"Sales","Sales Person"
"PE","Payment Entry"
"AS","Additional Salary"
"JE","Journal Entry"
"Ngày tạo","Created Date"
"Số ngày chờ","Days Pending"
"Nhóm","Bucket"
"Giá trị HĐ","Contract Value"
"Loại DV","Service Type"
"Doanh thu","Revenue"
"MS","Manager Services"
"GPVT","License Fee"
"Lợi nhuận gộp","Gross Profit"
"Nhân viên","Staff"
"BGĐ","Board of Directors"
"Recurring Telecom","Viễn thông định kỳ"
"Monthly FTTH Rollup","Tổng hợp FTTH tháng"
"One-off Sale/Project","Bán hàng/Dự án một lần"
"Pending","Pending"
"Posted","Posted"
"Cancelled","Cancelled"
"Manager Services","DV quản lý"
"Add Costs","Chi phí ngoài"
"Lương KD","Lương kinh doanh"
