"Recurring Telecom","Viễn thông định kỳ"
"Monthly FTTH Rollup","Tổng hợp FTTH tháng"
"One-off Sale/Project","Bán hàng/Dự án một lần"
"Pending","Chờ xử lý"
"Posted","Đã ghi nhận"
"Cancelled","Đã hủy"
"Draft","Nháp"
"Approved","Đã duyệt"
"Rejected","Từ chối"
"Manager Services","DV quản lý"
"Add Costs","Chi phí ngoài"
"License Fee","Phí GPVT"
"Sales Commission","Lương KD"
"Staff","Nhân viên"
"Board","BGĐ"
"Pending Sales Director","Chờ GĐ TT KD duyệt"
"Pending General Dept","Chờ P. Tổng hợp"
"Pending Branch Director","Chờ GĐ Chi nhánh"
"Pending Board","Chờ BGĐ duyệt"
"Submit for Approval (Staff)","Nộp phê duyệt (NV)"
"Submit for Approval (Board)","Nộp phê duyệt (BGĐ)"
"Approve Sales Director","Duyệt GĐ TT KD"
"Forward to Branch Director","Chuyển GĐ Chi nhánh"
"Forward to Board","Chuyển BGĐ"
"Approve Branch Director","Duyệt GĐ Chi nhánh"
"Approve Board","Phê duyệt BGĐ"
"Reject","Từ chối"
"Revise","Chỉnh sửa lại"
"Phuong An Kinh Doanh","Phương Án Kinh Doanh"
"PAKD Item","Hạng mục PAKD"
"PAKD Commission Line","Dòng hoa hồng PAKD"
"PAKD Commission Rule Template","Mẫu quy tắc hoa hồng"
"PAKD Rule Component","Thành phần quy tắc"
"PAKD Settings","Cài đặt PAKD"
"PAKD Type","Loại PAKD"
"Contract Reference","Hợp đồng tham chiếu"
"External Contract No","Số hợp đồng giấy"
"Customer","Khách hàng"
"Customer Name","Tên khách hàng"
"Sales Person","Nhân viên kinh doanh"
"Sales Person Name","Tên NVKD"
"Department","Phòng ban"
"Branch","Chi nhánh"
"Company","Công ty"
"Channel","Kênh phê duyệt"
"Service Type","Loại dịch vụ"
"Project Category","Nhóm dự án"
"Items","Hạng mục"
"Total Revenue (Contract)","Tổng doanh thu (hợp đồng)"
"Total Add Costs","Tổng chi phí ngoài"
"Total Manager Services","Tổng DV quản lý"
"Total License Fee","Tổng phí GPVT"
"Total Sales Commission","Tổng hoa hồng kinh doanh"
"Total Cost","Tổng chi phí"
"Total Revenue (Service)","Doanh thu dịch vụ"
"Commission Lines","Dòng hoa hồng"
"Status","Trạng thái"
"Additional Salary","Phụ cấp lương"
"Item Label","Hạng mục"
"UOM","Đơn vị tính"
"Qty","Số lượng"
"Unit Price","Đơn giá"
"Add Costs Unit Price","Đơn giá chi phí ngoài"
"Months Billed","Số tháng đã xuất HĐ"
"Months Promo","Số tháng khuyến mãi"
"Contract Line Ref","Số HĐ tham chiếu"
"Revenue Actual","Doanh thu thực tế"
"Salary Coefficient","Hệ số lương KD"
"Revenue (Contract)","Doanh thu (HĐ)"
"Add Costs Amount","Chi phí ngoài"
"Manager Services Amount","DV quản lý"
"License Fee Amount","Phí GPVT"
"Sales Commission Amount","Hoa hồng KD"
"Revenue (Service)","Doanh thu dịch vụ"
"Billing Schedule Index","Kỳ thanh toán"
"Component","Thành phần"
"Amount","Số tiền"
"State","Trạng thái"
"Payroll Month","Tháng lương"
"Payment Entry","Phiếu thu"
"Journal Entry","Bút toán"
"Template Name","Tên mẫu"
"Valid From","Hiệu lực từ"
"Valid To","Hiệu lực đến"
"Scope Branch","Phạm vi chi nhánh"
"Scope Service Type","Phạm vi loại DV"
"Scope PAKD Type","Phạm vi loại PAKD"
"Components","Thành phần"
"Component Name","Tên thành phần"
"Rate","Tỷ lệ (%)"
"Base Formula","Công thức cơ sở"
"Applies to Setup Fee","Áp dụng cho phí lắp đặt"
"unit_price","Đơn giá"
"unit_price_minus_add_costs","Đơn giá trừ chi phí ngoài"
"add_costs_gross","Tổng chi phí ngoài"
"revenue_actual","Doanh thu thực tế"
"Cutoff Day of Month","Ngày chốt tháng"
"Default Commission Template","Mẫu hoa hồng mặc định"
"Salary Component (Sales Commission)","Thành phần lương KD"
"Account Manager Services","Tài khoản DV quản lý"
"Account Add Costs","Tài khoản chi phí ngoài"
"Account GPVT","Tài khoản phí GPVT"
"Counter Account Manager Services","TK đối ứng DV quản lý"
"Counter Account Add Costs","TK đối ứng chi phí ngoài"
"Contract has been cancelled, cannot create/edit PAKD","Hợp đồng đã bị huỷ, không thể tạo/chỉnh sửa PAKD"
"PAKD already exists for contract {0}","Đã tồn tại PAKD cho hợp đồng {0}"
"Additional Salary {0} is already in a submitted Payroll. Manual salary reversal required.","Phụ cấp lương {0} đã nằm trong bảng lương đã duyệt. Cần xử lý đảo lương thủ công."
"Salary Reversal Warning","Cảnh báo đảo lương"
"PAKD Settings: Salary Component for Sales Commission (salary_component_luong_kd) not configured","PAKD Settings: chưa cấu hình Salary Component cho Lương KD (salary_component_luong_kd)"
"PAKD Settings: account not configured for {0} ({1})","PAKD Settings: chưa cấu hình tài khoản cho {0} ({1})"
"No matching commission rule template found for {0}/{1}","Không tìm thấy mẫu quy tắc hoa hồng cho {0}/{1}"
"View Contract","Xem Hợp đồng"
"Pending PAKD Aging","PAKD chờ duyệt theo thời gian"
"Profitability by Service","Lợi nhuận theo dịch vụ"
"Commission Register","Sổ đăng ký hoa hồng"
"Create New PAKD","Tạo PAKD mới"
"Pending Commission","Hoa hồng chờ duyệt"
"Sales Person","Nhân viên kinh doanh"
"Created Date","Ngày tạo"
"Days Pending","Số ngày chờ"
"Age Bucket","Nhóm tuổi"
"Contract Value","Giá trị HĐ"
"0-2 days","0-2 ngày"
"3-7 days","3-7 ngày"
"8-14 days","8-14 ngày"
"> 14 days","> 14 ngày"
PAKD Commission,Hoa Hồng PAKD
PAKD Manager Services,Hoa Hồng Dịch Vụ Quản Lý
PAKD Add Costs,Chi Phí Phát Sinh PAKD
PAKD Sales Commission,Hoa Hồng Bán Hàng PAKD
