source_text,translated_text,context
"<span class=""h4""><b>Department Permissions</b></span>","<span class=""h4""><b>Phân quyền phòng ban</b></span>",
Account,Tài khoản kế toán,
Accounting,Kế toán,
"Accounting
Accounting - Setup
Accounting - Cash & Banking
Accounting - Ledger
Accounting - Sales & Receivables
Accounting - Buying & Payables
Accounting - Assets
HR - Attendance
HR - Organization & Lifecycle
HR - Attendance Only
HR - Leave
HR - Employee Expenses
Sales
Sales - CRM
Sales - Products & Pricing
Sales - Orders & Delivery
Buying
Buying - Procurement
Stock
Stock - Warehouse Operations
Support
Projects","Kế toán - Toàn bộ
Kế toán - Thiết lập
Kế toán - Tiền & ngân hàng
Kế toán - Sổ kế toán
Kế toán - Bán hàng & công nợ phải thu
Kế toán - Mua hàng & công nợ phải trả
Kế toán - Tài sản
Nhân sự - Toàn bộ
Nhân sự - Tổ chức & vòng đời
Nhân sự - Chấm công
Nhân sự - Nghỉ phép
Nhân sự - Chi phí nhân viên
Bán hàng - Toàn bộ
Bán hàng - CRM
Bán hàng - Sản phẩm & bảng giá
Bán hàng - Đơn hàng & giao hàng
Mua hàng - Toàn bộ
Mua hàng - Nghiệp vụ mua
Kho - Toàn bộ
Kho - Vận hành kho
CSKH
Dự án",
Accounting Ledger,Sổ kế toán,
Accounting Setup,Thiết lập kế toán,
Accounting-related Stock,Kho liên quan kế toán,
Accounts Settings,Cài đặt kế toán ERPNext,
Active,Đang hoạt động,
Add User,Thêm user,
Address,Địa chỉ,
"Admin can add cross-department permission catalogs here, for example HR into Accounting.",Admin có thể thêm danh mục quyền chéo phòng ban tại đây. Ví dụ: thêm Nhân sự vào Kế toán để kế toán trưởng cấp quyền Chấm công/Nghỉ phép cho một số user kế toán.,
All,Tất cả,
Allowed Roles,Role được phép gán,
Asset,Tài sản cố định,
Asset Movement,Điều chuyển tài sản,
Assets,Tài sản,
Attendance,Chấm công,
Attendance Request,Yêu cầu chấm công,
Bank Account,Tài khoản ngân hàng,
Bank Transaction,Giao dịch ngân hàng,
Branch,Chi nhánh,
Buying,Mua hàng,
Buying & Payables,Mua hàng & công nợ phải trả,
Buying Reports,Báo cáo mua hàng,
By Role,Theo role,
Campaign,Chiến dịch,
Cancel,Hủy,
Cash & Banking,Tiền & ngân hàng,
Company,Công ty,
Contact,Liên hệ,
Cost Center,Trung tâm chi phí,
Create,Tạo,
Create a new user or change filters.,Tạo user mới hoặc đổi bộ lọc.,
Create User,Tạo user,
"Create users, assign roles, and manage per-user permissions within delegated scope.","Tạo user, gán role và cấu hình quyền riêng trong phạm vi quản lý.",
Created User Type,Loại user tạo,
CRM Reports,Báo cáo CRM,
Current Permission Source,Nguồn quyền hiện tại,
Custom,Quyền riêng,
Custom Permissions,Quyền riêng,
