Account Name,Parent Account,Account Number,Parent Account Number,Is Group,Account Type,Root Type,Account Currency
Tài sản ngắn hạn,,1,,1,,Asset,VND
Tài sản dài hạn,,2,,1,,Asset,VND
Nợ phải trả,,3,,1,,Liability,VND
Vốn chủ sở hữu,,4,,1,,Equity,VND
Doanh thu,,5,,1,,Income,VND
"Chi phí sản xuất, kinh doanh",,6,,1,Expenses Included In Asset Valuation,Expense,VND
Thu nhập khác (loại),,7,,1,,Income,VND
Chi phí khác (loại),,8,,1,,Expense,VND
Xác định kết quả kinh doanh (loại),,9,,1,,Income,VND
Tiền mặt,Tài sản ngắn hạn,111,1,1,Cash,Asset,VND
Tiền gửi Ngân hàng,Tài sản ngắn hạn,112,1,1,Bank,Asset,VND
Tiền đang chuyển,Tài sản ngắn hạn,113,1,1,Bank,Asset,VND
Chứng khoán kinh doanh,Tài sản ngắn hạn,121,1,1,,Asset,VND
Đầu tư nắm giữ đến ngày đáo hạn,Tài sản ngắn hạn,128,1,1,,Asset,VND
Phải thu của khách hàng,Tài sản ngắn hạn,131,1,0,Receivable,Asset,VND
Thuế GTGT được khấu trừ,Tài sản ngắn hạn,133,1,1,Tax,Asset,VND
Phải thu nội bộ,Tài sản ngắn hạn,136,1,1,Receivable,Asset,VND
Phải thu khác,Tài sản ngắn hạn,138,1,1,Receivable,Asset,VND
Tạm ứng,Tài sản ngắn hạn,141,1,0,,Asset,VND
Hàng mua đang đi đường,Tài sản ngắn hạn,151,1,0,Stock Received But Not Billed,Asset,VND
"Nguyên liệu, vật liệu",Tài sản ngắn hạn,152,1,0,,Asset,VND
"Công cụ, dụng cụ",Tài sản ngắn hạn,153,1,1,,Asset,VND
"Chi phí sản xuất, kinh doanh dở dang",Tài sản ngắn hạn,154,1,0,Temporary,Asset,VND
Thành phẩm,Tài sản ngắn hạn,155,1,1,Stock,Asset,VND
Hàng hóa,Tài sản ngắn hạn,156,1,1,Stock,Asset,VND
Hàng gửi đi bán,Tài sản ngắn hạn,157,1,0,,Asset,VND
Hàng hóa kho bảo thuế,Tài sản ngắn hạn,158,1,0,,Asset,VND
Chi sự nghiệp,Tài sản ngắn hạn,161,1,1,,Asset,VND
Giao dịch mua bán lại trái phiếu chính phủ,Tài sản ngắn hạn,171,1,0,,Asset,VND
Tài sản cố định hữu hình,Tài sản dài hạn,211,2,1,,Asset,VND
Tài sản cố định thuê tài chính,Tài sản dài hạn,212,2,1,,Asset,VND
Tài sản cố định vô hình,Tài sản dài hạn,213,2,1,,Asset,VND
Hao mòn tài sản cố định,Tài sản dài hạn,214,2,1,Accumulated Depreciation,Asset,VND
Bất động sản đầu tư,Tài sản dài hạn,217,2,0,,Asset,VND
Đầu tư vào công ty con,Tài sản dài hạn,221,2,0,,Asset,VND
"Đầu tư vào công ty liên doanh, liên kết",Tài sản dài hạn,222,2,0,,Asset,VND
Đầu tư khác,Tài sản dài hạn,228,2,1,,Asset,VND
Dự phòng tổn thất tài sản,Tài sản dài hạn,229,2,1,,Asset,VND
Xây dựng cơ bản dở dang,Tài sản dài hạn,241,2,1,,Asset,VND
Chi phí trả trước,Tài sản dài hạn,242,2,0,,Asset,VND
